province,country,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region,Active_rate,Death_rate,reacovery_rate,new_cases
Unknown,Nigeria,9.082,8.6753,22-01-2020,0,0,0,0,Africa,,,,
Unknown,North Macedonia,41.6086,21.7453,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Norway,60.472,8.4689,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Oman,21.512583,55.923255,22-01-2020,0,0,0,0,Eastern Mediterranean,,,,
Unknown,Pakistan,30.3753,69.3451,22-01-2020,0,0,0,0,Eastern Mediterranean,,,,
Unknown,Panama,8.538,-80.7821,22-01-2020,0,0,0,0,Americas,,,,
Unknown,Papua New Guinea,-6.314993,143.95555,22-01-2020,0,0,0,0,Western Pacific,,,,
Unknown,Paraguay,-23.4425,-58.4438,22-01-2020,0,0,0,0,Americas,,,,
Unknown,Peru,-9.19,-75.0152,22-01-2020,0,0,0,0,Americas,,,,
Unknown,Philippines,12.879721,121.774017,22-01-2020,0,0,0,0,Western Pacific,,,,
Unknown,Poland,51.9194,19.1451,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Portugal,39.3999,-8.2245,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Qatar,25.3548,51.1839,22-01-2020,0,0,0,0,Eastern Mediterranean,,,,
Unknown,Romania,45.9432,24.9668,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Russia,61.52401,105.318756,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Rwanda,-1.9403,29.8739,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Saint Lucia,13.9094,-60.9789,22-01-2020,0,0,0,0,Americas,,,,
Unknown,Saint Vincent and the Grenadines,12.9843,-61.2872,22-01-2020,0,0,0,0,Americas,,,,
Unknown,San Marino,43.9424,12.4578,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Saudi Arabia,23.885942,45.079162,22-01-2020,0,0,0,0,Eastern Mediterranean,,,,
Unknown,Senegal,14.4974,-14.4524,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Serbia,44.0165,21.0059,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Seychelles,-4.6796,55.492,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Singapore,1.2833,103.8333,22-01-2020,0,0,0,0,Western Pacific,,,,
Unknown,Slovakia,48.669,19.699,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Slovenia,46.1512,14.9955,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Somalia,5.152149,46.199616,22-01-2020,0,0,0,0,Eastern Mediterranean,,,,
Unknown,South Africa,-30.5595,22.9375,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Spain,40.463667,-3.74922,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Sri Lanka,7.873054,80.771797,22-01-2020,0,0,0,0,South-East Asia,,,,
Unknown,Sudan,12.8628,30.2176,22-01-2020,0,0,0,0,Eastern Mediterranean,,,,
Unknown,Suriname,3.9193,-56.0278,22-01-2020,0,0,0,0,Americas,,,,
Unknown,Sweden,60.128161,18.643501,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Switzerland,46.8182,8.2275,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Taiwan*,23.7,121,22-01-2020,1,0,0,1,Western Pacific,100,0,0,
Unknown,Tanzania,-6.369028,34.888822,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Thailand,15.870032,100.992541,22-01-2020,2,0,0,2,South-East Asia,100,0,0,
Unknown,Togo,8.6195,0.8248,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Trinidad and Tobago,10.6918,-61.2225,22-01-2020,0,0,0,0,Americas,,,,
Unknown,Tunisia,33.886917,9.537499,22-01-2020,0,0,0,0,Eastern Mediterranean,,,,
Unknown,Turkey,38.9637,35.2433,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Uganda,1.373333,32.290275,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Ukraine,48.3794,31.1656,22-01-2020,0,0,0,0,Europe,,,,
Unknown,United Arab Emirates,23.424076,53.847818,22-01-2020,0,0,0,0,Eastern Mediterranean,,,,
Bermuda,United Kingdom,32.3078,-64.7505,22-01-2020,0,0,0,0,Europe,,,,
Cayman Islands,United Kingdom,19.3133,-81.2546,22-01-2020,0,0,0,0,Europe,,,,0
Channel Islands,United Kingdom,49.3723,-2.3644,22-01-2020,0,0,0,0,Europe,,,,0
Gibraltar,United Kingdom,36.1408,-5.3536,22-01-2020,0,0,0,0,Europe,,,,0
Isle of Man,United Kingdom,54.2361,-4.5481,22-01-2020,0,0,0,0,Europe,,,,0
Montserrat,United Kingdom,16.742498,-62.187366,22-01-2020,0,0,0,0,Europe,,,,0
Unknown,United Kingdom,55.3781,-3.436,22-01-2020,0,0,0,0,Europe,,,,0
Unknown,Uruguay,-32.5228,-55.7658,22-01-2020,0,0,0,0,Americas,,,,
Unknown,US,40,-100,22-01-2020,1,0,0,1,Americas,100,0,0,
Unknown,Uzbekistan,41.377491,64.585262,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Venezuela,6.4238,-66.5897,22-01-2020,0,0,0,0,Americas,,,,
Unknown,Vietnam,14.058324,108.277199,22-01-2020,0,0,0,0,Western Pacific,,,,
Unknown,Zambia,-13.133897,27.849332,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Zimbabwe,-19.015438,29.154857,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Dominica,15.415,-61.371,22-01-2020,0,0,0,0,Americas,,,,
Unknown,Grenada,12.1165,-61.679,22-01-2020,0,0,0,0,Americas,,,,
Unknown,Mozambique,-18.665695,35.529562,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Syria,34.802075,38.996815,22-01-2020,0,0,0,0,Eastern Mediterranean,,,,
Unknown,Timor-Leste,-8.874217,125.727539,22-01-2020,0,0,0,0,South-East Asia,,,,
Unknown,Belize,17.1899,-88.4976,22-01-2020,0,0,0,0,Americas,,,,
Unknown,Laos,19.85627,102.495496,22-01-2020,0,0,0,0,Western Pacific,,,,
Unknown,Libya,26.3351,17.228331,22-01-2020,0,0,0,0,Eastern Mediterranean,,,,
Unknown,West Bank and Gaza,31.9522,35.2332,22-01-2020,0,0,0,0,Eastern Mediterranean,,,,
Unknown,Guinea-Bissau,11.8037,-15.1804,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Mali,17.570692,-3.996166,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Saint Kitts and Nevis,17.357822,-62.782998,22-01-2020,0,0,0,0,Americas,,,,
